name,magnitude,x,y,z,spectra,color
Gl 78.1,3.420,14.872602,7.998180,9.584806,F6IV,0.488
HD 11502,3.880,41.769649,22.568336,16.620371,A1p Si,-0.047
HD 11559,4.610,48.236339,26.069281,3.053521,K0III SB,0.928
HD 11695,4.390,63.693781,34.455513,-75.786103,M4III SB,1.597
HD 11415,3.350,49.169644,26.806887,113.163436,B2pvar,-0.150
Sheratan,2.640,14.752622,8.063457,6.389157,A5V...,0.165
HD 11977,4.680,22.365936,12.262188,-62.029417,G5III,0.931
Gl 81A,3.690,9.696827,5.372709,-13.991232,G5IV,0.844
HD 11529,4.970,68.369027,37.897739,200.343411,B8III,-0.084
HD 11930,4.920,87.291762,48.720739,-41.462783,K3III,1.434
HD 12055,4.820,44.938717,25.210184,-56.006405,G8III,0.864
HD 11973,4.790,31.505782,17.812162,15.809093,F0V,0.290
Gl 83,2.860,9.103629,5.191033,-19.357346,F0V,0.290
HD 12274,3.990,72.537969,41.881981,-32.283342,K5/M0III,1.554
HD 12111,4.490,9.939030,5.852056,33.321120,A3IV,0.164
HD 12446,3.820,39.728779,23.413015,2.226137,A2,0.024
HD 12303,4.990,111.632689,65.954843,181.694021,B8III,-0.071
HD 12216,3.950,12.488444,7.461980,45.920103,A2V,-0.002
Almaak,2.100,76.368059,45.840864,81.131974,B8V,1.370
HD 12767,4.680,84.934027,51.281306,-55.669463,B9.5p (Si),-0.156
Hamal,2.010,15.731986,9.751722,8.033610,K2III,1.151
HD 13041,4.780,39.240709,24.636572,36.016533,A5IV-V,0.120
HD 13174,4.980,67.224647,42.588967,38.710457,F2III,0.339
HD 13161,3.000,26.909766,17.068198,22.302471,A5III,0.140
HD 13480,4.940,64.466842,42.013918,44.970869,F5V comp SB,0.770
HD 13611,4.360,97.101875,63.662733,18.071856,G8II:,0.878
HD 13520,4.840,97.371981,63.974858,113.424253,K4III,1.476
HD 14228,3.560,24.277871,16.454316,-36.887020,B8IV-V,-0.120
Gl 92,4.840,7.369210,5.020051,6.065246,G0V,0.607
HD 14055,4.030,23.617959,16.128369,19.179839,A1Vnn,0.019
Mira,6.470,75.131148,52.288786,-4.761374,M5e-M9e,0.966
Gl 97.1,4.080,12.697968,9.036411,-39.890188,A3V,0.034
HD 14872,4.730,58.248225,42.953597,87.107710,K4III,1.532
HD 15130,4.880,109.868541,81.261421,-29.771764,A0V,-0.027
HD 15371,4.240,83.993856,62.712836,-115.214518,B5IV,-0.136
HD 15318,4.300,46.745585,35.276211,8.710480,B9III,-0.053
HD 15089,4.460,12.456271,9.477611,37.605991,A5p Sr,0.153
Polaris,1.970,1.343100,1.047629,132.614909,F7:Ib-IIv SB,0.636
HD 15798,4.740,20.289578,15.864382,-7.019183,F5V,0.454
HD 16046,4.960,102.355734,81.304512,-70.185255,B9V,-0.050
HD 16161,4.870,80.687079,65.266003,10.163258,G8III,0.880
268 G. Cet,5.790,5.538462,4.488223,0.861013,K3V,0.918
HD 16582,4.080,152.884758,127.698502,1.142144,B2IV,-0.212
Gl 105.4A,4.830,16.130169,13.482598,-4.419553,F5V,0.447
HD 16978,4.120,13.225285,11.057012,-43.245786,B9III,-0.061
HD 16754,4.740,20.044606,16.789617,-24.290419,A2V,0.061
HD 16815,4.110,27.095858,22.870882,-29.600515,K0III,1.006
Gl 105.6,4.910,14.037312,12.015355,15.611278,F9V,0.582
Gl 106.1A,3.470,18.440324,15.931398,1.377729,A3V,0.093
HD 16908,4.650,70.405829,60.907841,48.890970,B3V,-0.122
HD 17081,4.240,88.240919,76.789504,-28.858845,B7IV,-0.122
Gl 107A,4.100,5.480091,4.772164,8.427010,F7V,0.514
Wo 9099,4.270,19.080598,16.724750,4.526074,F1III-IV,0.311
Gl 111,4.470,10.131041,8.892749,-4.529443,F5/F6V,0.481
HD 17566,4.830,24.908967,21.949375,-80.615286,A2IV/V,0.058
HD 17361,4.520,34.120953,30.698125,25.701009,K1III,1.112
HD 17652,4.450,33.071703,30.064017,-28.370335,G8III,0.981
HD 17573,3.610,33.287607,30.498162,23.262430,B8Vn,-0.100
HD 18293,4.760,19.732423,18.156708,-100.544043,K3III,1.337
HD 17584,4.220,21.366064,19.678840,22.955795,F2III,0.343
HD 17506,3.770,111.116108,102.442422,223.184985,K3Ib comp SB,1.690
HD 17824,4.760,39.279245,36.321660,-20.540573,K0III,0.906
HD 17709,4.560,85.936298,79.796835,82.296682,K5III,1.554
HD 17878,3.930,34.175398,32.504346,62.052515,G4III...,0.758
HD 18322,3.890,29.694338,28.782724,-6.474577,K1III-IV,1.088
Acamar,2.880,26.857490,26.453029,-31.974932,A4III+...,0.128
HD 18411,4.680,51.973098,51.414240,60.614272,A2Vn,0.065
HD 18866,4.980,28.076248,27.782942,-81.241239,A5III,0.126
HD 18449,4.940,65.495403,64.961056,65.032724,K2III,1.235
HD 18519,4.630,67.368381,66.906756,37.095654,A2Vs,0.048
HD 18604,4.710,123.577264,123.270329,27.356434,B6III,-0.109
Menkar,2.540,53.342561,54.414384,5.448321,M2III,1.630
Gl 121,4.080,17.419759,17.787178,-10.889644,A4V,0.163
HD 18925,2.910,30.696986,32.009546,59.949578,G8III+...,0.716
HD 19058,3.320,50.772204,53.119196,59.165375,M3IIIvar,1.528
HD 18970,4.770,24.508776,25.723305,54.100758,K0II-III,1.018
Algol,2.090,14.189428,15.238793,18.072114,B8V,-0.003
Gl 124,4.050,4.634786,5.016825,8.029067,G0V,0.595
HD 19476,3.790,16.593574,18.028979,24.381331,K0III,0.980
HD 19656,4.610,45.694336,50.433482,56.323324,K1III,1.115
HD 19787,4.350,32.830084,36.343153,17.561644,K2IIIvar,1.033
HD 19275,4.850,9.131248,10.135747,48.840454,A2Vnn,0.035
Gl 127A,3.800,8.329775,9.257280,-6.899408,F8V,0.543
HD 20150,4.870,49.491233,56.385083,28.865954,A1V,-0.007
HD 20320,4.800,21.831836,25.077889,-5.159020,A5m,0.232
HD 20610,4.860,46.893889,55.084739,-29.981486,K0III,0.904
HD 20468,4.850,193.138960,227.601514,203.036213,K2II,1.491
Gl 137,4.840,5.884410,6.973226,0.537318,G5Vvar,0.681
HD 20720,3.700,55.881991,66.313063,-34.611249,M3/M4III,1.614
82 G. Eri,4.260,2.839238,3.381499,-4.127499,G8V,0.711
HD 20336,4.740,61.920738,73.786336,212.864571,B2.5Vne,-0.108
HD 20644,4.470,93.334252,111.566498,80.790225,K2II-III,1.555
HD 20677,4.960,21.424658,25.861789,31.680272,A3V,0.051
Mirphak,1.790,62.885098,77.880689,118.708804,F5Ib,0.481
HD 21120,3.610,55.200207,68.663325,13.999272,G8III,0.887
HD 21364,3.730,39.077692,49.645163,10.836642,B9Vn,-0.082
HD 21278,4.990,64.836812,83.025530,121.451613,B5V,-0.091
HD 21291,4.210,182.465205,235.803468,515.181030,B9Ia,0.419
HD 21428,4.670,65.571385,84.967730,125.703720,B3V,-0.096
Gl 143.2A,4.710,6.026531,7.809946,-19.308690,F5IV-V,0.410
HD 21389,4.550,242.150448,315.326967,658.519557,A0Ia SB:,0.489
HD 21552,4.360,44.768095,58.646849,81.928338,K3III,1.367
HD 21790,4.740,74.875272,98.125761,-10.961868,B9Vs,-0.092
