name,magnitude,x,y,z,spectra,color
HD 40808,3.960,0.395224,106.157169,-98.355400,K0III,1.146
HD 40035,3.720,0.046526,22.556370,31.372845,K0III,1.010
Menkalinan,1.900,0.036195,17.601288,17.569058,A2V,0.077
HD 40312,2.650,0.049188,40.426416,30.699340,A0p Si,-0.083
HD 40239,4.300,0.045456,160.242415,165.569637,M3IIvar,1.701
HD 40657,4.530,-0.031384,128.846834,-6.920028,K2IIIvar,1.202
HD 40967,4.920,-1.897366,236.276842,-44.210601,B5III,-0.128
HD 40932,4.120,-0.487031,46.831940,7.961214,Am...,0.170
HD 41117,4.640,-8.871117,518.633356,190.215445,B2Iavar,0.236
HD 41116,4.160,-0.785331,43.678266,18.780748,G7III,0.835
HD 41511,4.920,-5.809895,267.039134,-79.040392,Ap shell,0.196
HD 41695,4.670,-1.374348,51.158602,-13.650887,A0V,0.046
HD 41753,4.420,-5.054138,152.917263,40.334489,B3IV,-0.164
HD 42933,4.720,-10.273101,228.464394,-326.230539,B0.5IV,-0.229
HD 42560,4.450,-9.400594,180.278110,45.708737,B3IV,-0.180
HD 42545,4.950,-8.185486,155.478891,45.028347,B5Vn,-0.149
HD 43232,3.990,-9.829941,151.438427,-16.686522,K3III,1.319
HD 42995,3.310,-7.067151,108.713368,45.140745,M3III,1.600
HD 43039,4.320,-3.166482,47.119755,26.717109,G8IIIvar,1.021
HD 43785,4.370,-3.302105,45.641526,-32.209615,G8II,0.978
HD 42818,4.760,-1.556212,18.881878,50.191283,A0Vn,0.025
HD 43378,4.440,-2.113811,24.627350,41.155331,A2Vs,0.032
Red Rectangle,8.850,-37.678828,431.315480,-81.318571,B8,0.344
HD 44131,4.910,-12.394869,141.721462,-7.317466,M1III,1.613
HD 44402,3.020,-8.512138,95.786306,-55.662081,B2.5V,-0.160
HD 44762,3.850,-5.767253,59.585068,-39.527310,G7II,0.858
Mirzam,1.980,-14.209731,142.995999,-46.568852,B1II/III,-0.240
HD 44478,2.870,-6.562116,65.281443,27.194957,M3IIIvar,1.621
HD 44769,4.390,-3.869140,37.174221,3.002439,A5IV,0.215
Canopus,-0.620,-5.992679,57.132034,-75.396105,F0Ib,0.164
HD 44537,4.920,-7072.184850,64841.320779,75799.652572,K5Iabvar,1.905
HD 45813,4.470,-13.417279,108.608383,-69.932353,B4V,-0.169
HD 45725,3.760,-25.823011,204.282357,-25.402943,B3Ve,-0.113
HD 45542,4.130,-19.745914,155.415378,57.679070,B6III,-0.115
HD 46328,4.340,-53.872246,385.075042,-168.408118,B1III,-0.245
HD 46300,4.470,-14190.694310,98161.685934,12763.527373,A0Ib,0.023
HD 47306,4.350,-38.301434,249.019454,-334.050014,B9III,-0.021
HD 46933,4.540,-18.983936,123.138801,-52.796495,A0III,-0.035
Gl 239.1,3.950,-2.971851,18.407811,-6.513678,K1III+...,1.037
Alhena,1.930,-5.266162,31.714389,9.461403,A0IV,0.001
HD 47670,3.170,-13.618850,81.907249,-77.960909,B8III SB,-0.103
HD 47442,4.420,-20.194927,121.035795,-40.433628,K0II/III,1.137
HD 47667,4.820,-50.114033,289.536851,-74.057517,K2III,1.459
HD 47174,4.800,-16.062194,92.675681,86.154051,K3III,1.236
HD 47839,4.660,-49.352633,273.075535,48.410212,O7,-0.233
HD 48329,3.060,-44.684834,230.247724,110.023705,A3mA6-A9,1.377
HD 48433,4.490,-16.447960,84.640667,20.268144,K1III,1.167
Sirius,-1.440,-0.494323,2.476731,-0.758485,A0m...,0.009
Gl 242,3.350,-3.444569,17.203451,4.016900,F5IV,0.443
HD 48250,4.860,-6.706626,32.791585,56.689392,A3V,0.084
HD 49161,4.770,-30.670670,146.395704,21.120444,K4III,1.396
HD 49293,4.480,-23.378565,110.316881,4.750306,K0III,1.099
Gl 248,3.240,-2.906455,13.618019,-26.124095,A7IV,0.225
HD 50013,3.500,-36.758571,166.353338,-108.570651,B1.5IVne,-0.116
HD 50337,4.410,-21.369861,96.682187,-134.411909,G6II,0.899
HD 50310,2.940,-7.654383,34.572281,-43.130564,K0III...,1.207
HD 49520,4.990,-19.027882,84.492261,77.385743,K3III,1.256
HD 50235,4.990,-45.430987,201.296088,-141.124218,K2/K3III,1.379
HD 50019,3.600,-10.977360,46.812348,32.384569,A3III,0.102
HD 50707,4.820,-81.065196,340.615870,-128.990912,B1Ib,-0.212
HD 50877,3.890,-21346.953289,88690.467029,-40967.166217,K3Iab,1.740
HD 50778,4.080,-18.313512,76.003688,-16.672541,K4III,1.418
Wo 9220A,4.730,-5.893353,24.247254,5.842527,F0Vp,0.321
HD 51199,4.660,-6.675726,26.963324,-10.185168,F2IV/V,0.374
HD 51309,4.360,-178.337623,713.454932,-225.597739,B3Ib/II,-0.063
HD 51799,4.940,-42.307688,168.850157,-198.287093,M1III,1.668
HD 50522,4.350,-7.080952,27.740855,46.579360,G5III-IV,0.850
HD 50973,4.900,-12.970166,50.498584,52.309156,A2Vn,0.027
Adhara,1.500,-27.497987,105.141608,-60.171969,B2II,-0.211
HD 49878,4.550,-3.289278,12.261351,54.888833,K4III,1.365
HD 52877,3.490,-80.775471,292.659236,-160.985300,K4III,1.729
HD 52918,4.990,-100.870652,358.181085,-27.582498,B1V,-0.195
HD 53138,3.020,-210.498109,746.064177,-342.438173,B3Ia,-0.077
HD 53244,4.110,-35.835279,125.471916,-36.514903,B8II,-0.112
HD 53811,4.920,-10.806546,37.753134,-46.115083,A4IV,0.140
HD 52973,4.010,-109.067807,379.683873,148.251630,G3Ibv SB,0.899
Wezen,1.830,-129.733458,421.761488,-218.979855,F8Ia,0.671
HD 55865,3.780,-4.228120,13.669876,-40.404484,G8IIIvar,1.006
HD 54893,4.830,-50.854474,164.154600,-142.449266,B3IV/V,-0.179
HD 54810,4.910,-18.708565,59.130780,-4.594836,K0III,1.020
HD 54719,4.410,-25.971151,80.964075,49.576976,K2III,1.261
HD 54716,4.910,-35.409626,109.539726,94.294231,K4II-III,1.451
HD 55185,4.150,-36.330133,112.038272,-1.012987,A2V,-0.005
Gl 268.1,4.490,-4.570150,13.949318,-15.609196,F0IV,0.324
HD 56022,4.870,-12.514570,37.828102,-40.099419,Ap,-0.003
HD 56096,4.420,-14.376520,43.256072,-45.012936,M5e,1.331
HD 56014,4.420,-151.739539,451.839925,-236.113130,B3III,-0.170
HD 56456,4.750,-24.589751,72.819168,-86.179461,B8/B9V,-0.091
HD 56139,4.010,-79.967595,236.217084,-125.824594,B2IV/Ve,-0.150
HD 56618,4.660,-36.012762,103.730384,-58.092035,M2III,1.589
HD 56577,4.830,-131.002952,377.175131,-172.085079,K4III,1.601
HD 57623,3.970,-27.934552,80.182853,-209.706812,F6II,0.760
HD 56855,2.710,-65.206299,186.349551,-149.300305,K3Ib,1.616
Wo 9231A,3.580,-9.909037,27.946222,8.805756,A3V...,0.106
HD 57150,4.650,-66.140466,185.983966,-147.315434,B2V+...,-0.099
HD 57060,4.880,-179.020796,500.860177,-243.055684,O7f,-0.160
HD 57061,4.370,-280.076390,783.212348,-387.061103,O9Ib,-0.132
Gl 271A,3.500,-5.888392,16.151258,6.939513,F0IV...,0.374
HD 57821,4.940,-48.962555,130.564555,-48.059375,B5II/III,-0.039
Aludra,2.450,-190.762166,496.337122,-298.432917,B5Ia,-0.083
HD 58367,4.990,-115.111431,293.547700,51.499062,G8III,0.991
HD 58207,3.780,-11.927106,30.384970,17.208794,G9III+...,1.024
HD 58142,4.610,-20.244731,50.928261,63.517493,A1V,-0.001
Gomeisa,2.890,-18.209817,45.556204,7.147858,B8Vvar,-0.097
Luyten's Star,9.840,-1.409549,3.514856,0.346358,M5,1.573
HD 58972,4.330,-36.168237,89.336272,15.136711,K3III SB,1.425
Gl 274A,4.160,-5.815731,14.195743,9.506008,F0V...,0.320
HD 59717,3.250,-16.404069,39.982094,-40.727160,K5III SB,1.509
HD 59294,4.550,-65.527801,158.596503,36.495368,K2III,1.276
HD 59612,4.850,-334.921530,810.002495,-372.496613,A6Ib/II,0.243
HD 59890,4.650,-152.353154,364.613906,-237.084709,G2Ib...,0.904
HD 55966,4.920,-7.826627,18.647411,151.798327,M4IIIa,1.633
HD 60414,4.820,-181.711894,418.911139,-118.294243,A4Ia,1.362
Gl 279,4.440,-9.338236,21.462897,-9.597779,F6V,0.521
Castor,1.580,-5.311938,12.130011,8.238737,A2Vm,0.034
HD 60863,4.650,-24.165667,54.673563,-32.279448,B8V,-0.111
HD 61248,4.930,-29.674646,66.915732,-95.513367,K3III,1.373
HD 60522,4.060,-30.104979,67.678521,37.572052,K5III,1.540
HD 61330,4.530,-37.322872,82.499218,-63.328989,B8IV/V,-0.081
HD 61429,4.690,-71.308473,155.929559,-81.286705,B8IV,-0.100
HD 61555,3.800,-39.647242,86.168417,-47.921159,B5IV,-0.159
HD 61110,4.890,-17.604251,38.114150,28.945417,F3III,0.413
Procyon,0.400,-1.469312,3.176170,0.320024,F5IV-V,0.432
HD 61831,4.840,-56.206910,121.287419,-105.603052,B3V,-0.189
HD 61772,4.980,-87.246250,186.278637,-56.133385,K3III,1.543
HD 61935,3.940,-19.103696,40.392645,-7.518267,K0III,1.022
HD 63295,3.930,-5.555002,11.669749,-41.257317,K0III,1.033
HD 61497,4.930,-18.465628,38.280249,69.930770,A3IVn,0.104
HD 62044,4.230,-14.627301,30.220289,18.521324,K1III SB,1.118
HD 62576,4.630,-90.991731,187.515464,-112.746885,K5III,1.632
HD 62623,3.940,-38291.587533,78676.767410,-48411.988585,A2Iab,0.160
HD 62345,3.570,-17.374205,35.446541,17.905243,G8III,0.932
HD 63032,3.620,-121.341631,245.368054,-213.621366,K4III,1.706
Pollux,1.160,-4.055465,8.195180,4.867171,K0IIIvar,0.991
HD 62721,4.890,-44.076766,88.284547,33.035710,K5III,1.425
HD 63462,4.400,-177.636172,348.306930,-190.167555,B1IV:nne,-0.070
HD 63744,4.690,-22.084008,43.185663,-52.156579,K0III,1.039
HD 63922,4.100,-159.874467,309.624302,-365.580595,B0III,-0.160
HD 63700,3.340,-153.118527,296.362603,-154.558514,G6Ia,1.218
HD 64440,3.710,-38.618552,72.465137,-70.319408,G5III...,1.012
HD 64503,4.490,-73.058570,136.476492,-124.742956,B2V,-0.188
HD 64740,4.630,-71.357379,132.718390,-177.136266,B1.5Vp,-0.228
HD 64760,4.220,-160.841113,298.394134,-377.840741,B0.5Ib,-0.130
HD 64145,4.970,-28.943408,53.587317,30.719285,A3V,0.098
HD 65575,3.460,-40.958494,73.302689,-111.359983,B3IVp,-0.177
HD 65228,4.200,-71.949183,128.660129,-62.208733,F7/F8II,0.718
HD 65456,4.760,-157.590853,279.483537,-187.750479,A7III,0.151
HD 65818,4.470,-94.724680,167.015922,-222.796274,B1Vp + B2,-0.180
HD 65695,4.930,-41.952099,72.856948,-5.406614,K2III,1.205
HD 65810,4.610,-35.056533,60.800842,-23.345844,A1V,0.087
HD 66591,4.810,-34.170263,58.986665,-137.130239,B3V,-0.173
HD 65953,4.690,-69.581124,119.047291,-3.352171,K4III,1.475
HD 66141,4.390,-39.573096,67.004089,3.172507,K2III,1.252
HD 66216,4.940,-35.665386,59.640931,36.629896,K2III,1.130
Naos,2.210,-130.674899,218.376203,-213.564535,O5IAf,-0.269
HD 67523,2.830,-9.379037,15.076242,-8.018549,F2mF5IIp,0.458
HD 68520,4.350,-33.295483,53.320205,-160.545681,B6IV,-0.113
HD 67006,4.780,-25.374808,40.428392,60.021585,A2V,0.048
HD 67594,4.360,-172.530830,274.520877,-16.900451,G2Ib,0.970
Gl 297.1,4.740,-5.120016,8.113858,-17.525983,F5V,0.437
HD 67797,4.400,-71.881704,113.895555,-47.019828,B5V,-0.160
HD 68273,1.750,-124.300149,195.993257,-251.831601,WC8 + O9I,-0.145
HD 68290,4.720,-28.615326,44.371776,-12.118680,K0III,0.939
HD 68553,4.440,-217.566963,337.086530,-332.121610,K4III,1.590
HD 68601,4.730,-39688.333489,61447.812029,-68183.594917,A7Ib,0.164
HD 68255,4.670,-13.035978,20.033032,7.603791,G0V,0.531
HD 68752,4.990,-141.007112,214.391986,-72.555365,G5Ib/II,1.066
HD 68980,4.780,-126.950621,192.728371,-167.055901,B2ne,-0.110
HD 69142,4.420,-38.497885,58.137119,-59.234021,K1II/III,1.170
HD 69267,3.530,-51.522087,76.015371,14.849540,K4III,1.481
Gl 305,4.050,-2.515914,3.642744,-19.054133,F5III,0.413
GJ 1109,4.440,-13.053888,18.895299,-17.092944,A4m...,0.222
HD 71701,4.340,-5.942562,8.436434,-46.487637,K0III-IV,1.161
HD 70555,4.830,-149.654998,211.006362,-168.344180,K2/K3III,1.419
Avior,1.860,-54.837080,76.515238,-159.872623,K3III+B2V,1.196
HD 70930,4.790,-203.211129,283.507070,-394.128854,B1V,-0.146
HD 70272,4.250,-49.889521,69.406143,80.234157,K5III,1.550
HD 71155,3.910,-22.215080,30.115144,-2.555415,A0V,-0.012
NN 3499,3.770,-7.921708,10.731349,-30.152411,K2IIIvar,1.132
HD 71369,3.350,-16.375480,21.290022,47.898272,G4II-III,0.856
HD 73389,4.840,-22.613761,28.093587,-57.735593,K0III,0.981
HD 73634,4.110,-259.443213,315.728058,-380.926901,A6II,0.109
HD 73262,4.140,-31.060832,37.795209,4.886214,A1Vnn,0.003
HD 73471,4.450,-72.861703,87.795627,6.661268,K2III,1.216
HD 73898,4.860,-41.817563,49.965426,-36.955019,G5III,0.900
HD 73840,4.980,-74.725017,89.034455,-25.716635,K3III,1.415
HD 74006,3.970,-66.942302,79.706384,-73.721425,G5II/III,0.936
HD 73108,4.590,-21.882091,26.028746,70.744858,K2III,1.179
HD 74195,3.600,-58.718510,69.796529,-120.698168,B3IV,-0.168
HD 74375,4.310,-143.695030,170.315593,-382.271019,B1.5III,-0.117
HD 74180,3.770,-44268.895114,52465.832585,-72715.894970,F3Ia,0.670
HD 74272,4.740,-342.599425,403.912027,-574.310463,A5II,0.137
HD 74137,4.870,-40.492194,47.526772,-17.836846,K0IIICN...,1.063
HD 74560,4.830,-58.047162,67.710972,-118.845793,B3IV,-0.173
HD 74280,4.300,-117.329664,135.898249,10.662430,B3V...,-0.192
HD 74198,4.660,-33.797361,39.125009,20.332870,A1IV,0.010
HD 74575,3.680,-147.689477,170.508984,-147.537653,B1.5III,-0.180
HD 74395,4.630,-153.247381,176.799963,-29.697511,G2Ib,0.840
Gl 321.1,4.050,-33.930288,38.895322,-47.544435,G5III,0.874
HD 74442,3.940,-25.041776,28.633970,12.473108,K0III,1.083
Gl 321.3A,1.930,-9.394033,10.739813,-20.158771,A1V,0.043
HD 75063,3.870,-261.370054,295.353930,-409.001899,A1III,0.015
HD 74918,4.320,-48.487966,54.625007,-17.599924,G8III,0.900
HD 74739,4.030,-59.175263,66.476982,48.846771,G8Iab:,1.007
HD 75311,4.500,-67.604379,75.938075,-155.190471,B3Vne,-0.169
HD 74874,3.380,-26.198413,29.410867,4.431082,G0III-IV,0.685
HD 75137,4.350,-72.427474,80.133985,11.043767,A0Vn,-0.044
HD 75710,4.940,-161.453862,176.514292,-241.801472,A2III,0.043
HD 75691,4.020,-38.119847,41.407111,-29.561085,K3III,1.272
HD 76728,3.840,-33.242229,34.710992,-85.450746,B8III,-0.104
HD 76294,3.110,-35.316755,36.765697,5.309278,G8III-IV,0.978
HD 76483,4.870,-46.537543,48.390854,-35.220779,A3IV,0.142
HD 76805,4.680,-45.648890,47.138490,-86.210555,B5V,-0.115
HD 77002,4.930,-73.749993,75.723920,-177.525434,B2IV-V,-0.182
HD 76756,4.260,-39.690103,40.217629,11.863811,A5m,0.141
Gl 331A,3.120,-6.835882,6.883318,10.789878,A7IV,0.223
HD 77258,4.450,-34.310322,34.283342,-42.541431,Fp,0.646
Gl 332A,3.960,-8.496677,8.449391,10.707365,F5V,0.463
Gl 333.3,4.000,-10.959043,10.727523,-35.095233,Am,0.145
HD 76827,4.740,-26.238304,25.661975,89.174849,M3III,1.542
HD 77327,3.570,-53.667801,51.996165,80.572997,A1Vn,0.007
HD 78004,3.750,-44.996400,43.393870,-67.265198,K2III,1.174
HD 78791,4.470,-26.549942,25.383448,-117.230442,F6II-III,0.607
HD 78764,4.660,-71.606714,68.166580,-279.782221,B2IVe,-0.149
HD 77996,4.990,-198.469921,188.385732,24.384833,K2II-III,1.189
HD 77912,4.560,-142.682841,134.775878,155.855184,G8Ib-II,1.037
HD 78647,2.230,-88.662596,82.682121,-114.774841,K4Ib-II,1.665
HD 78541,4.620,-113.101873,105.424918,-74.939800,K4/K5III,1.594
NN 3534,4.460,-13.136539,12.157018,22.586243,Am,0.288
Gl 335A,4.800,-5.847532,5.339885,18.777611,F7IV-V,0.489
HD 78362,4.670,-12.781485,11.618266,34.664578,Am,0.381
HD 79351,3.430,-52.268405,47.490561,-117.379570,B2IV,-0.190
HD 79186,4.990,-52477.103581,47636.215793,-70547.463495,B5Ia,0.222
HD 79447,3.960,-57.282911,51.905154,-147.343168,B3IV,-0.180
Miaplacidus,1.670,-8.980712,8.001552,-32.546536,A2IV,0.070
HD 79469,3.890,-26.074955,22.995381,1.405035,B9.5V,-0.060
HD 79917,4.920,-40.578389,35.395103,-42.938669,K1III,1.084
Gl 339.3,4.630,-30.231324,26.337334,-30.669320,F3/F5V,0.473
NN 3541,4.800,-15.902851,13.801155,29.004929,A5V,0.199
HD 80230,4.340,-60.681610,52.656261,-126.314357,M1III,1.602
Tureis,2.210,-90.887872,78.251756,-201.791538,A8Ib,0.189
HD 80081,3.820,-23.374361,19.815176,22.926164,A1V,0.066
HD 80499,4.770,-77.350337,65.035285,-21.434127,G8III,0.927
HD 80586,4.800,-51.620293,43.129268,-11.323789,F5V+...,0.913
HD 81101,4.790,-25.507141,21.224070,-63.484685,G6III,0.926
HD 80493,3.140,-39.512346,32.846027,35.172040,M0IIIvar,1.550
HD 80874,4.710,-106.697986,88.352050,-67.462157,M0III,1.633
HD 81188,2.470,-77.657770,63.951481,-143.729782,B2IV,-0.141
HD 81169,4.710,-39.981104,32.606579,-28.402371,G8III,0.892
HD 81146,4.470,-43.149317,34.738124,27.236473,K2III,1.222
HD 81799,4.720,-34.907582,27.443238,-18.250853,K1III,1.154
Alphard,1.990,-43.003468,33.722848,-8.322089,K3III,1.440
Gl 348A,4.590,-13.696743,10.590983,-0.837388,F6V,0.411
HD 82150,4.510,-139.565679,107.824531,-127.908140,K3III,1.408
Gl 351A,3.600,-11.382585,8.679058,-12.210922,F2IV,0.371
HD 82668,3.160,-31.754679,24.098313,-61.464914,K5III,1.538
NN 3559,3.650,-8.603035,6.510645,21.231076,F0IV,0.360
HD 82308,4.320,-74.131964,56.004334,39.376137,K5IIIvar,1.541
HD 82395,4.990,-51.752664,39.017676,12.950700,K0IIIvar,1.046
HD 82446,4.540,-126.733075,95.515712,-3.281718,A3V,0.109
Gl 354A,3.170,-6.693935,5.005096,10.574720,F6IV,0.475
HD 82635,4.540,-36.727405,27.121579,33.657600,G8III,0.914
HD 83183,4.080,-167.414546,123.378853,-349.278931,B5II,-0.013
Gl 355.1,4.540,-8.863300,6.529755,29.970273,G4III-IV,0.781
HD 82621,4.470,-39.843065,29.261248,63.389555,A2V,0.027
HD 82741,4.810,-41.037596,30.072439,42.121002,K0III,0.992
HD 83446,4.340,-17.076537,12.313080,-24.523729,A5V,0.173
HD 81817,4.280,-37.324320,26.847884,301.391198,K3III,1.488
HD 83425,4.680,-73.603912,52.281093,7.342101,K3III,1.310
HD 83944,4.510,-27.144864,19.122006,-60.718624,B9V,-0.070
HD 83618,3.900,-66.071937,46.325951,-1.609728,K3IIIvar,1.313
HD 83808,3.520,-32.353394,22.412883,6.863686,A5V+...,0.516
HD 83953,4.760,-117.022040,80.966874,-62.145015,B5V,-0.117
Gl 364,4.930,-11.318572,7.761580,-6.086167,G0V,0.534
Gl 366.1A,4.780,-76.378087,51.419982,-48.482449,A7V+...,0.516
HD 84810,3.690,-183.781936,122.513039,-424.437591,G5Iab/Ib,1.010
Ras Elased Australis,2.970,-57.700126,38.244772,30.494289,G0II,0.808
HD 85123,2.920,-155.321542,101.734428,-399.488275,A9,0.273
HD 84999,3.780,-15.505407,9.784196,30.560252,F0IV,0.291
HD 85444,4.110,-66.227032,41.593190,-20.730703,G6/G8III,0.918
HD 85622,4.580,-188.586906,118.211160,-234.934131,G5Ib,1.172
HD 85235,4.550,-77.666573,48.481560,126.314461,A3IV,0.038
HD 85503,3.880,-29.062466,18.025880,16.685015,K0III,1.222
HD 85859,4.870,-80.420618,49.182770,-45.839772,K2III,1.199
HD 85951,4.940,-152.168245,92.455966,-61.341498,K5III,1.559
HD 86440,3.520,-242.953038,144.739494,-397.464518,B5Ib,-0.067
HD 86663,4.680,-106.845097,61.554441,17.426851,M2III,1.589
HD 87504,4.600,-82.143224,45.007279,-21.735618,B8V,-0.087
HD 87737,3.480,-328.449984,175.868859,112.220999,A0Ib,-0.031
Gl 378.3,4.490,-20.337129,10.878482,16.296700,A7V,0.190
HD 87837,4.390,-78.745563,41.911852,15.725184,K4III,1.448
HD 87887,4.480,-76.698775,40.808080,-0.563531,A0III,-0.032
Regulus,1.360,-21.018857,11.132218,5.041397,B7V,-0.087
HD 88206,4.850,-223.293293,117.558256,-320.807643,B3IV,-0.120
HD 88284,3.610,-29.938956,15.487743,-7.382812,K0III,1.007
HD 89080,3.290,-32.007790,16.004390,-98.524026,B8III,-0.074
HD 88955,3.850,-20.660362,10.218175,-20.842511,A2V,0.051
HD 89025,3.430,-69.409312,33.594777,33.397009,F0III,0.307
HD 89388,3.390,-87.130340,41.987831,-176.898605,K3II,1.541
HD 89021,3.450,-27.815454,13.402145,28.706022,A2IV,0.029
HD 89682,4.590,-294.912958,138.127708,-465.594001,K3II,1.600
Gl 388.1,4.780,-18.248265,8.534898,7.122411,F6IV,0.452
Algieba,2.010,-34.002797,15.860719,13.538740,K0III,1.128
HD 89890,4.500,-178.581258,82.409049,-292.063178,B3III,-0.102
HD 89998,4.820,-42.523932,19.306177,-41.536251,K1IIIvar,1.095
HD 89758,3.060,-48.161684,21.865099,46.794651,M0III SB,1.603
HD 90264,4.970,-44.048610,19.849599,-113.279863,B8V,-0.128
Wo 9327,4.940,-39.331229,17.484507,94.738965,A0sp...,-0.052
Gl 391,3.990,-4.080371,1.808276,-15.597165,F2IV,0.369
HD 90277,4.720,-54.504577,23.723710,39.788315,F0V,0.260
HD 90432,3.830,-63.022703,27.373482,-20.792498,K4III,1.456
HD 90610,4.280,-88.352579,37.890013,-57.918293,K4III,1.429
HD 90772,4.650,-49216.266252,21041.305288,-84469.063012,A6Ia,0.474
HD 90853,3.810,-196.531535,83.545339,-351.776134,F2II,0.317
HD 90537,4.200,-34.818822,14.800637,28.207980,G8III-IV,0.908
HD 91375,4.720,-22.825726,9.415606,-75.959940,A2III,0.042
Gl 395,4.820,-6.613102,2.718087,10.592404,F8V,0.541
HD 91496,4.940,-84.555297,34.577704,-302.983592,K4/K5III,1.677
Gl 397.2,4.890,-11.954013,4.868385,-17.581178,F6V,0.500
HD 91465,3.300,-65.154868,26.316211,-130.423268,B4Vne,-0.089
HD 91316,3.840,-91628.219948,36643.480970,16171.724913,B1Ib SB,-0.148
HD 91312,4.720,-24.492411,9.742819,22.453613,A7IV,0.222
HD 91190,4.860,-17.440256,6.774144,73.470305,K0III,0.957
HD 92305,4.110,-23.590237,9.118277,-125.518147,M0III,1.580
HD 91942,4.450,-180.676542,69.727876,-304.668464,K3/K4II,1.604
HD 92036,4.870,-124.132537,46.887988,-68.818523,M1III,1.626
HD 92139,3.840,-16.728402,6.312600,-20.015507,A3m+...,0.300
HD 92055,4.890,-189.701165,71.346928,-48.226078,C,2.800
HD 92214,4.910,-57.920169,21.487818,-18.741882,G8III,0.922
HD 92125,4.680,-141.042262,52.228946,93.894934,G0II,0.823
HD 92397,4.690,-345.640030,127.941972,-617.847533,K4/K5III:,1.562
HD 92449,4.290,-136.666108,50.211211,-212.666606,G2II,1.025
HD 92938,4.760,-56.531903,19.953693,-125.498543,B3V,-0.139
HD 93030,2.740,-56.980945,19.910719,-125.948607,B0Vp,-0.220
HD 93070,4.580,-162.347956,56.267084,-304.520188,K3Ib,1.700
HD 93194,4.800,-62.615070,21.524887,-135.520000,B5Vn,-0.134
HD 93845,4.450,-16.754133,5.623468,-106.064858,B2.5IV,-0.188
HD 93497,2.690,-22.183186,7.339648,-27.280949,G5III SB,0.901
HD 93607,4.870,-60.458367,19.978993,-132.799515,B3IV,-0.149
HD 93813,3.110,-40.343946,12.793047,-12.291085,K0/K1III,1.232
HD 94264,3.790,-23.041794,6.900625,16.355475,K0III-IV,1.040
Gl 404.1,3.780,-14.436596,4.310989,-24.929960,K0III-IV...,0.945
HD 94334,4.660,-52.797900,15.644705,51.693196,A1Vs,-0.039
HD 94601,4.300,-76.740685,22.145239,36.821043,A1,0.016
HD 94890,4.600,-44.696342,12.665166,-35.182633,K0III,1.006
HD 95272,4.080,-44.746057,12.036889,-15.323330,K1III,1.079
HD 95370,4.370,-43.044414,11.502641,-40.436502,A3IV,0.116
HD 95345,4.840,-106.589011,28.281073,6.971851,K1III,1.144
HD 95382,4.980,-44.565858,11.785895,4.927631,A5III,0.166
HD 95578,4.730,-173.306253,44.958910,-7.768920,K5III,1.593
Merak,2.340,-13.103033,3.398358,20.360601,A1V,0.033
HD 95608,4.420,-35.330409,9.082879,13.407184,A1m,0.053
Lalande 21185,7.490,-1.998000,0.504305,1.495504,M2V,1.502
Dubhe,1.810,-17.298705,4.334880,33.191332,F7V comp,1.061
HD 96097,4.620,-27.933018,6.832954,3.702177,F2III-IVvar,0.332
NN 3642A,4.920,-37.332873,9.078033,-19.825005,F3IV/V,0.369
Gl 412.1,4.620,-54.992171,13.065371,-108.229327,G8III,0.988
HD 96918,3.930,-50249.825140,11464.949662,-85694.282278,G0Ia0,1.225
HD 96833,3.000,-30.843315,6.885330,31.054046,K1III,1.144
Gl 416.1,4.460,-93.979241,20.122462,-40.451687,A1V,0.025
HD 97534,4.590,-48463.829439,10168.720642,-86878.388235,A6Ia,0.541
Zosma,2.560,-16.442201,3.337108,6.280742,A4V,0.128
HD 97633,3.330,-47.814213,9.675761,13.464276,A2V,-0.003
HD 97778,4.560,-265.393270,52.544691,115.372069,M3III,1.657
HD 98058,4.450,-55.346129,10.592461,-3.596235,A7IVn,0.210
HD 98262,3.490,-100.864256,18.476143,66.832099,K3III SB,1.400
HD 98353,4.760,-45.502825,8.201254,36.365276,A2V,0.113
HD 98430,3.560,-54.199405,9.717642,-14.526390,K0III,1.112
HD 98718,3.900,-62.768014,10.783606,-89.257117,B5Vn,-0.157
HD 98664,4.050,-66.140622,11.324464,7.087542,B9.5Vs,-0.058
HD 98839,4.990,-117.003029,19.146141,112.440475,G8II,0.998
HD 99028,4.000,-22.987695,3.648687,4.326252,F2IV SB,0.423
HD 99167,4.810,-111.927049,17.422325,-21.729917,K5III,1.556
HD 99211,4.060,-23.765377,3.670362,-7.667025,A9V,0.216
HD 99648,4.950,-170.517134,24.012169,8.591477,G8II-III,1.000
HD 99998,4.770,-183.381869,23.886401,-9.703152,K4III,1.529
HD 100029,3.820,-35.773586,4.486959,95.570558,M0IIIvar,1.613
HD 100286,4.930,-22.772217,2.768505,-12.852752,F8V,0.540
HD 100407,3.540,-33.524411,3.967590,-20.978114,G8III,0.947
HD 100673,4.620,-75.883966,8.390759,-106.106941,B9V,-0.077
HD 100841,3.110,-58.063196,6.158685,-114.692848,B9II:,-0.044
HD 100889,4.700,-84.291063,8.605864,-14.638702,B9.5Vn,-0.073
HD 100920,4.300,-55.361348,5.587078,-0.800036,G9III,0.983
HD 101431,4.700,-112.605217,9.746158,-78.393462,B9V,-0.070
HD 101570,4.930,-127.100039,10.620449,-240.786185,G3Ib,1.111
